MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,YawDeg,AngX,AngY,AngZ
352479058217,352477058217,352.479058217,352.477058217,-0.021,0.089,0.995,0.0,0.0,-0.671,-0.007830875887030665,5.241,1.19,-160.174
352489258841,352487258841,352.489258841,352.487258841,-0.021,0.089,0.995,0.0,0.0,0.0,-0.00661074276932492,5.24,1.191,-160.181
352499295258,352497295258,352.499295258,352.497295258,-0.021,0.089,0.995,0.0,0.0,-0.671,-0.005928616676541039,5.239,1.191,-160.189
352509293176,352507293176,352.509293176,352.507293176,-0.021,0.089,0.995,0.0,0.0,-0.671,-0.005620354111972508,5.237,1.192,-160.196
352519565841,352517565841,352.519565841,352.517565841,-0.021,0.089,0.995,0.0,0.0,-0.671,-0.0055862075867121885,5.236,1.192,-160.203
352529686841,352527686841,352.529686841,352.527686841,-0.021,0.089,0.995,0.0,0.0,-0.671,-0.0057491029062884304,5.235,1.193,-160.211
352539659093,352537659093,352.539659093,352.537659093,-0.021,0.089,0.995,0.0,0.0,-0.671,-0.006053775701187819,5.234,1.193,-160.218
352549703093,352547703093,352.549703093,352.547703093,-0.021,0.089,0.995,0.0,0.0,-0.671,-0.006461555952748046,5.233,1.194,-160.225
352559925300,352557925300,352.5599253,352.5579253,-0.021,0.089,0.995,0.0,0.0,-0.671,-0.0069539114190573246,5.232,1.194,-160.232
352569979509,352567979509,352.569979509,352.567979509,-0.021,0.089,0.995,0.0,0.0,-0.671,-0.007491666516724499,5.231,1.194,-160.239
352580062593,352578062593,352.580062593,352.578062593,-0.021,0.089,0.995,0.0,0.0,-0.671,-0.008068541837281016,5.23,1.195,-160.246
352590142176,352588142176,352.590142176,352.588142176,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.008677591678033026,5.228,1.195,-160.254
352600288259,352598288259,352.600288259,352.598288259,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.009310448473790882,5.227,1.196,-160.262
352610343052,352608343052,352.610343052,352.608343052,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.009951353480897759,5.226,1.197,-160.269
352620541050,352618541050,352.62054105,352.61854105,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.010614032823074313,5.225,1.198,-160.276
352630601968,352628601968,352.630601968,352.628601968,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.01127366989878916,5.224,1.198,-160.283
352640597261,352638597261,352.640597261,352.638597261,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.011936270260410223,5.223,1.199,-160.29
352650684428,352648684428,352.650684428,352.648684428,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.012608400676761831,5.222,1.2,-160.297
352660934926,352658934926,352.660934926,352.658934926,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.013292200322964645,5.221,1.201,-160.304
352670976593,352668976593,352.670976593,352.668976593,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.013966574639148827,5.22,1.201,-160.311
352681006594,352679006594,352.681006594,352.679006594,-0.022,0.089,0.996,0.0,0.0,-0.671,-0.014643082891587243,5.219,1.202,-160.318
352691210135,352689210135,352.691210135,352.689210135,-0.022,0.089,0.996,0.0,0.0,0.0,-0.013426031951677611,5.218,1.203,-160.326
