MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
2189581995279,2189579995279,2189.581995279,2189.579995279,-0.113,0.061,0.993,0.0,0.0,-0.122
2189592203196,2189590203196,2189.592203196,2189.590203196,-0.113,0.061,0.993,0.0,0.0,-0.122
2189602401487,2189600401487,2189.602401487,2189.600401487,-0.113,0.061,0.993,0.0,0.0,-0.122
2189612645569,2189610645569,2189.612645569,2189.610645569,-0.113,0.061,0.993,0.0,0.0,0.0
2189622863110,2189620863110,2189.62286311,2189.62086311,-0.113,0.061,0.993,0.0,0.0,-0.122
2189640242147,2189638242147,2189.640242147,2189.638242147,-0.113,0.061,0.993,0.0,0.0,-0.122
2189652208500,2189650208500,2189.6522085,2189.6502085,-0.113,0.061,0.993,0.0,0.0,-0.122
2189662561956,2189660561956,2189.662561956,2189.660561956,-0.113,0.061,0.993,0.0,0.0,0.0
2189672785330,2189670785330,2189.67278533,2189.67078533,-0.113,0.061,0.993,0.0,0.0,-0.122
2189682948330,2189680948330,2189.68294833,2189.68094833,-0.113,0.061,0.993,0.0,0.0,-0.122
2189693405910,2189691405910,2189.69340591,2189.69140591,-0.113,0.061,0.993,0.0,0.0,-0.122
2189703594868,2189701594868,2189.703594868,2189.701594868,-0.113,0.061,0.993,0.0,0.0,0.0
2189714405943,2189712405943,2189.714405943,2189.712405943,-0.113,0.061,0.993,0.0,0.0,-0.122
2189726902540,2189724902540,2189.72690254,2189.72490254,-0.113,0.061,0.993,0.0,0.0,-0.122
2189736367007,2189734367007,2189.736367007,2189.734367007,-0.113,0.061,0.993,0.0,0.0,-0.122
2189746693921,2189744693921,2189.746693921,2189.744693921,-0.113,0.061,0.993,0.0,0.0,-0.122
2189756918754,2189754918754,2189.756918754,2189.754918754,-0.113,0.061,0.993,0.0,0.0,-0.122
2189767047921,2189765047921,2189.767047921,2189.765047921,-0.113,0.061,0.993,0.0,0.0,-0.122
2189777387669,2189775387669,2189.777387669,2189.775387669,-0.113,0.061,0.993,0.0,0.0,-0.122
2189787573710,2189785573710,2189.78757371,2189.78557371,-0.113,0.061,0.993,0.0,0.0,-0.122
2189797977332,2189795977332,2189.797977332,2189.795977332,-0.113,0.061,0.993,0.0,0.0,-0.122
2189808150541,2189806150541,2189.808150541,2189.806150541,-0.113,0.061,0.993,0.0,0.0,-0.122
2189818387331,2189816387331,2189.818387331,2189.816387331,-0.113,0.061,0.993,0.0,0.0,-0.122
2189828552082,2189826552082,2189.828552082,2189.826552082,-0.113,0.061,0.993,0.0,0.0,-0.122
2189838829413,2189836829413,2189.838829413,2189.836829413,-0.113,0.061,0.993,0.0,0.0,-0.122
2189849227202,2189847227202,2189.849227202,2189.847227202,-0.113,0.061,0.993,0.0,0.0,-0.122
2189864527264,2189862527264,2189.864527264,2189.862527264,-0.114,0.062,0.993,0.0,0.0,-0.122
2189875178217,2189873178217,2189.875178217,2189.873178217,-0.114,0.062,0.993,0.0,0.0,-0.122
2189884646767,2189882646767,2189.884646767,2189.882646767,-0.114,0.062,0.993,0.0,0.0,-0.122
2189894832892,2189892832892,2189.894832892,2189.892832892,-0.114,0.062,0.993,0.0,0.0,-0.122
2189905241597,2189903241597,2189.905241597,2189.903241597,-0.114,0.062,0.993,0.0,0.0,-0.122
2189915465263,2189913465263,2189.915465263,2189.913465263,-0.114,0.062,0.993,0.0,0.0,-0.122
2189925646929,2189923646929,2189.925646929,2189.923646929,-0.114,0.062,0.993,0.0,0.0,-0.122
2189935862721,2189933862721,2189.935862721,2189.933862721,-0.114,0.062,0.993,0.0,0.0,-0.122
2189946585714,2189944585714,2189.946585714,2189.944585714,-0.114,0.062,0.993,0.0,0.0,-0.122
2189956339510,2189954339510,2189.95633951,2189.95433951,-0.114,0.062,0.993,0.0,0.0,-0.122
2189966557051,2189964557051,2189.966557051,2189.964557051,-0.114,0.062,0.993,0.0,0.0,-0.122
2189976961257,2189974961257,2189.976961257,2189.974961257,-0.114,0.062,0.993,0.0,0.0,-0.122
2189987220214,2189985220214,2189.987220214,2189.985220214,-0.114,0.062,0.993,0.0,0.0,-0.122
2189997398964,2189995398964,2189.997398964,2189.995398964,-0.114,0.062,0.993,0.0,0.0,-0.122
2190007793253,2190005793253,2190.007793253,2190.005793253,-0.114,0.062,0.993,0.0,0.0,-0.122
2190017980169,2190015980169,2190.017980169,2190.015980169,-0.114,0.062,0.993,0.0,0.0,-0.122
2190028164169,2190026164169,2190.028164169,2190.026164169,-0.114,0.062,0.993,0.0,0.0,-0.122
2190038414085,2190036414085,2190.038414085,2190.036414085,-0.114,0.062,0.993,0.0,0.0,-0.122
2190048641251,2190046641251,2190.048641251,2190.046641251,-0.114,0.062,0.993,0.0,0.0,-0.122
2190060081152,2190058081152,2190.060081152,2190.058081152,-0.114,0.062,0.993,0.0,0.0,-0.122
2190082095006,2190080095006,2190.082095006,2190.080095006,-0.114,0.062,0.993,0.0,0.0,-0.122
2190092568919,2190090568919,2190.092568919,2190.090568919,-0.114,0.062,0.993,0.0,0.0,-0.122
2190102930542,2190100930542,2190.102930542,2190.100930542,-0.114,0.062,0.993,0.0,0.0,-0.122
2190113180166,2190111180166,2190.113180166,2190.111180166,-0.115,0.062,0.993,0.0,0.0,-0.122
2190123408498,2190121408498,2190.123408498,2190.121408498,-0.115,0.062,0.993,0.0,0.0,-0.122
2190133593081,2190131593081,2190.133593081,2190.131593081,-0.115,0.062,0.993,0.0,0.0,-0.122
2190143810622,2190141810622,2190.143810622,2190.141810622,-0.115,0.062,0.993,0.0,0.0,-0.122
