EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Temperature,FrameType
2191.0044451,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.014851639,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.025394676,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.035771465,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.046180629,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.056577834,-0.113,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2191.067055539,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.080601247,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.08742508,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.097412707,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.107654748,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.117828831,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.128058039,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.138281705,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.148687952,-0.113,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2191.158854452,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.169097951,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.179249576,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.189513783,-0.113,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2191.199750282,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.209953532,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.220356862,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.23055982,-0.113,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2191.240773861,-0.113,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.251109817,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.261242485,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.271405485,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.281654525,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.291926024,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.302212398,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.312354689,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.322591189,-0.114,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2191.332790355,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.343035604,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.353058022,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.363291605,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.37368706,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.383889727,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.402613621,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.413916733,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.424103066,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.434506979,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.444694771,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.454966561,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.465454766,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.477424035,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.487541577,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.498148489,-0.114,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.508515653,-0.115,0.062,0.993,0.0,0.0,0.0,0.0,N/A
2191.518906442,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.529317355,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.539867684,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.550313014,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.560683678,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.571024593,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.581453298,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.591851087,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.602093419,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
2191.61230571,-0.115,0.062,0.993,0.0,0.0,-0.122,0.0,N/A
