MonoNS,EstNS,MonoS,EstS,SensorID,Src,East_Vel(m_s),North_Vel(m_s),Up_Vel(m_s)
3143537002402,3143487002402,3143.537002402,3143.487002402,DVL_H1000,BI,0.022,0.03,-0.002
3144536728070,3144486728070,3144.53672807,3144.48672807,DVL_H1000,BI,0.03,0.013,-0.002
3145533063154,3145483063154,3145.533063154,3145.483063154,DVL_H1000,BI,0.03,0.006,0.0
3146515600241,3146465600241,3146.515600241,3146.465600241,DVL_H1000,BI,0.022,0.008,0.01
3147518840157,3147468840157,3147.518840157,3147.468840157,DVL_H1000,BI,0.019,0.001,0.0
3148519565895,3148469565895,3148.519565895,3148.469565895,DVL_H1000,BI,0.017,0.005,0.009
3149501465115,3149451465115,3149.501465115,3149.451465115,DVL_H1000,BI,0.016,0.0,0.0
3150500805203,3150450805203,3150.500805203,3150.450805203,DVL_H1000,BI,0.014,0.008,0.004
3151501818563,3151451818563,3151.501818563,3151.451818563,DVL_H1000,BI,0.01,0.006,0.0
3152482226510,3152432226510,3152.48222651,3152.43222651,DVL_H1000,BI,0.01,0.006,0.0
3153480354738,3153430354738,3153.480354738,3153.430354738,DVL_H1000,BI,0.01,0.007,0.0
3154480542525,3154430542525,3154.480542525,3154.430542525,DVL_H1000,BI,0.013,0.003,0.008
3156460277560,3156410277560,3156.46027756,3156.41027756,DVL_H1000,BI,-0.011,-0.01,0.002
3157460665303,3157410665303,3157.460665303,3157.410665303,DVL_H1000,BI,-0.028,0.009,0.0
3158437368545,3158387368545,3158.437368545,3158.387368545,DVL_H1000,BI,-0.045,0.008,0.007
3159440994623,3159390994623,3159.440994623,3159.390994623,DVL_H1000,BI,-0.058,0.002,0.007
3160440054423,3160390054423,3160.440054423,3160.390054423,DVL_H1000,BI,-0.078,0.002,0.005
3161420240997,3161370240997,3161.420240997,3161.370240997,DVL_H1000,BI,-0.059,0.005,0.009
3162420168496,3162370168496,3162.420168496,3162.370168496,DVL_H1000,BI,-0.061,0.006,0.0
3163415898045,3163365898045,3163.415898045,3163.365898045,DVL_H1000,BI,-0.058,0.008,0.009
3164401821882,3164351821882,3164.401821882,3164.351821882,DVL_H1000,BI,-0.065,0.007,0.007
3165401144471,3165351144471,3165.401144471,3165.351144471,DVL_H1000,BI,-0.065,0.008,0.009
3166401247717,3166351247717,3166.401247717,3166.351247717,DVL_H1000,BI,-0.058,0.003,0.0
3167383060646,3167333060646,3167.383060646,3167.333060646,DVL_H1000,BI,-0.057,0.0,0.005
3168382971561,3168332971561,3168.382971561,3168.332971561,DVL_H1000,BI,0.043,0.006,0.0
3169381925488,3169331925488,3169.381925488,3169.331925488,DVL_H1000,BI,0.088,0.003,0.0
3170365063610,3170315063610,3170.36506361,3170.31506361,DVL_H1000,BI,0.112,0.028,0.0
3171363648333,3171313648333,3171.363648333,3171.313648333,DVL_H1000,BI,0.131,0.01,0.0
3172364012159,3172314012159,3172.364012159,3172.314012159,DVL_H1000,BI,0.144,0.008,0.007
3173346928449,3173296928449,3173.346928449,3173.296928449,DVL_H1000,BI,0.162,0.014,-0.004
3174346378745,3174296378745,3174.346378745,3174.296378745,DVL_H1000,BI,0.172,0.014,-0.013
3175345957123,3175295957123,3175.345957123,3175.295957123,DVL_H1000,BI,0.337,0.014,0.016
3176328734165,3176278734165,3176.328734165,3176.278734165,DVL_H1000,BI,0.462,0.01,0.004
3176335217835,3176285217835,3176.335217835,3176.285217835,DVL_H1000,BE,0.445,0.113,0.006
3177328390416,3177278390416,3177.328390416,3177.278390416,DVL_H1000,BI,0.52,0.026,0.006
3178328885199,3178278885199,3178.328885199,3178.278885199,DVL_H1000,BI,0.506,0.012,0.024
