t_s,E_m,N_m,U_m,vE_mps,vN_mps,vU_mps,yaw_deg,src_used
2346.986596753,-1.798150072270003,3.0127864186660647,3.2665161183948377,0.023774923376792163,0.0706411159136937,0.19525774187185443,71.39886246798171,BI
2347.986729582,-1.7743719908939137,3.0834369177685437,3.461799796157286,0.145302428160429,0.033797017487688,0.1880265033967825,36.639361843266386,BI
2348.986069962,-1.6291654071211594,3.117211642067554,3.649702273511883,0.2231637894693574,-0.018829041514407247,0.13379981414533074,9.972774212697049,BI
2349.968536842,-1.409914375152184,3.0987127323975003,3.781156159459849,0.2434193815960729,-0.07538714948014852,0.039137991218804284,-5.82974443599279,BI
2350.966567155,-1.1669744535475715,3.0234740720056443,3.8202170610861463,0.20863061942972885,-0.12094629544213815,-0.05782091537835328,-17.369689063797257,BI
2351.97336361,-0.956925885501296,2.901705770509134,3.7620031684583735,0.143,0.101,0.002,-24.830635450491076,BE
2352.950575638,-0.8171845654973046,3.000404185337128,3.763957592514373,0.05163591498771787,-0.0382573480329871,-0.026685344383463944,-32.73103721128397,BI
2353.949696687,-0.7655940359486896,2.9621804636384432,3.7372957032410343,0.023980489846061083,-0.021122953466659614,-0.016696015799833628,-39.46128307148631,BI
2354.948264452,-0.7416478917995095,2.9410877632050476,3.7206236000593944,0.012542547343682795,-0.012722127029018176,-0.011082959441818821,-43.56873946286538,BI
2355.930540501,-0.7293276479503599,2.928591122532106,3.709737074447656,0.011324799018452463,-0.013839157224701987,-0.01316155972906087,-44.99404555478535,BI
2356.930197961,-0.7180067281285634,2.9147567057723203,3.696580023079265,0.010181909022655165,-0.012709771963133713,-0.011991264541303118,-44.970650574136116,BI
2357.929760297,-0.7078292753609381,2.9020524964188223,3.6845940066827656,0.011767454253028236,-0.012445479585158365,-0.010374828109337238,-44.58896221417037,BI
2358.907838522,-0.6963197845923677,2.889879843836897,3.674446613220905,0.01204208941001816,-0.011716256330613338,-0.008872283823035156,-44.21426810784272,BI
2359.90816864,-0.684273719871878,2.8781597197591764,3.665571400497279,0.013617556068470534,-0.012935817693164414,-0.009392911547080378,-43.52929601890176,BI
2360.91048215,-0.6706246594512673,2.8651939749224202,3.656156758355405,0.01329531474423179,-0.013139632845402621,-0.009622092004331981,-42.80086055240687,BI
2361.891921209,-0.6575761182595801,2.852298226027023,3.6467132614330624,0.015118724237411809,-0.010101750366138269,-0.011286222440361619,-41.8662272125328,BI
2362.892155537,-0.6424538512817581,2.842194108537927,3.635424394314771,0.011326822890686745,-0.016154180048674204,-0.014273946551603415,-40.687699804585534,BI
2363.892205825,-0.6311264587877992,2.8260391161278426,3.62114972995494,0.01108844057716734,-0.01381999162034837,-0.011047819566780123,-39.375279495579974,BI
2364.872193902,-0.6202599192296506,2.8124956891156594,3.6103229985026464,0.013298385640704393,-0.014995442384470765,-0.010876104405766111,-37.93773448368668,BI
2365.871010747,-0.6069772676404094,2.7975179886638237,3.599459762214189,0.015876820478948703,-0.014739483556436174,-0.008699091674926912,-36.41613422807896,BI
2366.871077952,-0.5910993801597396,2.7827775145403946,3.5907600859168056,0.01416575205366402,-0.016575576125305386,-0.011600937240943921,-34.88552919356072,BI
2367.851668771,-0.5772085737516913,2.7665236567722906,3.579384313366545,0.012627047093410419,-0.012000944052765344,-0.006747964399964735,-33.41090664710127,BI
2368.850587407,-0.5645951810924299,2.754535690108386,3.572643645972353,0.015289209399637703,-0.013883185864614643,-0.007106140033984283,-31.925594103836993,BI
2369.850653736,-0.5493049575748256,2.7406515833859397,3.5655370345952084,0.015025028179938837,-0.01314409088919216,-0.006122205720873776,-30.431182833213974,BI
2370.830350025,-0.534584993224819,2.7277743663195193,3.5595391323699737,0.016527803815591505,-0.011285136807777037,-0.002911595484107431,-28.94508526580924,BI
2371.829489158,-0.5180714176501153,2.716498944513611,3.556630043382336,0.01936268618694757,-0.008315413493328379,-0.0009696814223043587,-27.461989903753803,BI
2377.788722101,-0.4026846602598827,2.6669454584895003,3.5508514859063247,0.12459453677015149,-0.04778487809524633,0.021042975845963915,-22.553744921397982,BI
2378.788812389,-0.27807887409817816,2.619156265993174,3.5718963616804946,0.13991058244429683,-0.06624836469416787,0.02002955554789334,-24.595815174352712,BI
2379.770928314,-0.14067046300367014,2.554092692021853,3.591567707154744,0.14611394462113123,-0.07325461111079017,0.022571600259172944,-26.627017835918387,BI
2380.770285611,0.005349573746938702,2.4808851618693737,3.6141248005787197,0.1083828154358205,-0.054861326713212206,0.011974980144912988,-28.184624513985973,BI
2387.731538735,0.759829786287459,2.098981579900241,3.697485668522333,0.03661763106148855,-0.028781721328419024,-0.004556491283645549,-35.65850264935853,BI
2388.711450271,0.7957118253856089,2.0707780391445816,3.6930207101498045,0.03718013162917346,-0.03375353185197454,-0.004397374165917237,-40.78199442563846,BI
2389.710663195,0.8328626934254983,2.0370510738874446,3.6886267970515565,0.029127846011436927,-0.02723963354498621,-0.007387215379889794,-45.10941634122192,BI
2390.710121407,0.8619747583194949,2.0098261984490424,3.6812435839763142,0.02277579712396258,-0.03533454404572537,-0.006762622453515464,-49.58491567464234,BI
2391.691533841,0.8843272088112143,1.9751484375728452,3.674606662213986,0.00935809212875583,-0.014076536760292111,-0.0020681451945796943,-53.640953498697115,BI
